pair	protein	n_seeds	n_seeds_planned	n_models	status
ATP-ATP	yp_009031408	5	5	25	FULL
ATP-ATP	yp_009091875	5	5	25	FULL
ATP-GTP	yp_009031408	5	5	25	FULL
ATP-GTP	yp_009091875	5	5	25	FULL
ATP-CTP	yp_009031408	5	5	25	FULL
ATP-CTP	yp_009091875	5	5	25	FULL
ATP-UTP	yp_009031408	5	5	25	FULL
ATP-UTP	yp_009091875	5	5	25	FULL
GTP-GTP	yp_009031408	5	5	25	FULL
GTP-GTP	yp_009091875	5	5	25	FULL
GTP-CTP	yp_009031408	5	5	25	FULL
GTP-CTP	yp_009091875	5	5	25	FULL
GTP-UTP	yp_009031408	5	5	25	FULL
GTP-UTP	yp_009091875	5	5	25	FULL
CTP-CTP	yp_009031408	5	5	25	FULL
CTP-CTP	yp_009091875	5	5	25	FULL
CTP-UTP	yp_009031408	5	5	25	FULL
CTP-UTP	yp_009091875	5	5	25	FULL
UTP-UTP	yp_009031408	5	5	25	FULL
UTP-UTP	yp_009091875	5	5	25	FULL
