substrate	seed	ranking	iptm	ptm	sample	file
nicked	1	0.93	0.93	0.94	1	models/nicked_seed1.cif
nicked	2	0.95	0.95	0.95	4	models/nicked_seed2.cif
nicked	3	0.95	0.95	0.95	3	models/nicked_seed3.cif
nicked	4	0.95	0.95	0.95	2	models/nicked_seed4.cif
nicked	5	0.95	0.95	0.94	3	models/nicked_seed5.cif
gap1nt	1	0.95	0.95	0.95	1	models/gap1nt_seed1.cif
gap1nt	2	0.95	0.95	0.95	2	models/gap1nt_seed2.cif
gap1nt	3	0.95	0.95	0.95	4	models/gap1nt_seed3.cif
gap1nt	4	0.95	0.94	0.95	2	models/gap1nt_seed4.cif
gap1nt	5	0.95	0.95	0.95	1	models/gap1nt_seed5.cif
gap2nt	1	0.89	0.88	0.92	0	models/gap2nt_seed1.cif
gap2nt	2	0.88	0.87	0.9	0	models/gap2nt_seed2.cif
gap2nt	3	0.88	0.87	0.9	2	models/gap2nt_seed3.cif
gap2nt	4	0.81	0.8	0.84	0	models/gap2nt_seed4.cif
gap2nt	5	0.88	0.87	0.91	1	models/gap2nt_seed5.cif
intact	1	0.95	0.94	0.95	2	models/intact_seed1.cif
intact	2	0.95	0.95	0.95	0	models/intact_seed2.cif
intact	3	0.95	0.95	0.95	1	models/intact_seed3.cif
intact	4	0.95	0.95	0.95	0	models/intact_seed4.cif
intact	5	0.95	0.95	0.95	1	models/intact_seed5.cif
