substrate	seed	sample	best_overall	raw_model
nicked	1	1	0	af3_results/folds_2026_09_03_19_12/orf55_nicked_atp_seed1/fold_orf55_nicked_atp_seed1_model_1.cif
nicked	2	4	1	af3_results/folds_2026_09_03_19_12/orf55_nicked_atp_seed2/fold_orf55_nicked_atp_seed2_model_4.cif
nicked	3	3	0	af3_results/folds_2026_09_03_19_12/orf55_nicked_atp_seed3/fold_orf55_nicked_atp_seed3_model_3.cif
nicked	4	2	0	af3_results/folds_2026_09_03_19_12/orf55_nicked_atp_seed4/fold_orf55_nicked_atp_seed4_model_2.cif
nicked	5	3	0	af3_results/folds_2026_09_03_19_12/orf55_nicked_atp_seed5/fold_orf55_nicked_atp_seed5_model_3.cif
gap1nt	1	1	1	af3_results/folds_2026_09_03_19_12/orf55_gap1nt_atp_seed1/fold_orf55_gap1nt_atp_seed1_model_1.cif
gap1nt	2	2	0	af3_results/folds_2026_09_03_19_12/orf55_gap1nt_atp_seed2/fold_orf55_gap1nt_atp_seed2_model_2.cif
gap1nt	3	4	0	af3_results/folds_2026_09_03_19_12/orf55_gap1nt_atp_seed3/fold_orf55_gap1nt_atp_seed3_model_4.cif
gap1nt	4	2	0	af3_results/folds_2026_09_03_19_12/orf55_gap1nt_atp_seed4/fold_orf55_gap1nt_atp_seed4_model_2.cif
gap1nt	5	1	0	af3_results/folds_2026_09_03_19_12/orf55_gap1nt_atp_seed5/fold_orf55_gap1nt_atp_seed5_model_1.cif
gap2nt	1	0	1	af3_results/folds_2026_09_03_19_12/orf55_gap2nt_atp_seed1/fold_orf55_gap2nt_atp_seed1_model_0.cif
gap2nt	2	0	0	af3_results/folds_2026_09_03_19_12/orf55_gap2nt_atp_seed2/fold_orf55_gap2nt_atp_seed2_model_0.cif
gap2nt	3	2	0	af3_results/folds_2026_09_03_19_12/orf55_gap2nt_atp_seed3/fold_orf55_gap2nt_atp_seed3_model_2.cif
gap2nt	4	0	0	af3_results/folds_2026_09_03_19_12/orf55_gap2nt_atp_seed4/fold_orf55_gap2nt_atp_seed4_model_0.cif
gap2nt	5	1	0	af3_results/folds_2026_09_03_19_12/orf55_gap2nt_atp_seed5/fold_orf55_gap2nt_atp_seed5_model_1.cif
intact	1	2	1	af3_results/folds_2026_09_03_19_12/orf55_intact_duplex_atp_seed1/fold_orf55_intact_duplex_atp_seed1_model_2.cif
intact	2	0	0	af3_results/folds_2026_09_03_19_12/orf55_intact_duplex_atp_seed2/fold_orf55_intact_duplex_atp_seed2_model_0.cif
intact	3	1	0	af3_results/folds_2026_09_03_19_12/orf55_intact_duplex_atp_seed3/fold_orf55_intact_duplex_atp_seed3_model_1.cif
intact	4	0	0	af3_results/folds_2026_09_03_19_12/orf55_intact_duplex_atp_seed4/fold_orf55_intact_duplex_atp_seed4_model_0.cif
intact	5	1	0	af3_results/folds_2026_09_03_19_12/orf55_intact_duplex_atp_seed5/fold_orf55_intact_duplex_atp_seed5_model_1.cif
