path,n_samples,average_iptm,iptm>=0.6,best_iptm,average_ptm,average_confidence_score,best_ptm,best_confidence_score
1_cofolding_uncharacterised_adps_defences/UEM35121.1/acric5/uem35121.1_acric5,20,0.92,TRUE,0.92,0.8465,0.9053,0.85,0.906
1_cofolding_uncharacterised_adps_defences/QZE32573.1/acrie4/qze32573.1_acrie4,20,0.9175,TRUE,0.93,0.8835,0.9107,0.88,0.92
1_cofolding_uncharacterised_adps_defences/WWV39459.1/acrib4/wwv39459.1_acrib4,20,0.91,TRUE,0.91,0.7525,0.8785,0.76,0.88
1_cofolding_uncharacterised_adps_defences/QZE32573.1/acrie3/qze32573.1_acrie3,20,0.901,TRUE,0.91,0.88,0.8968,0.88,0.904
1_cofolding_uncharacterised_adps_defences/QHB64844.1/acriia26/qhb64844.1_acriia26,20,0.863,TRUE,0.87,0.777,0.8458,0.79,0.854
1_cofolding_uncharacterised_adps_defences/UEM35119.1/acric3/uem35119.1_acric3,20,0.863,TRUE,0.91,0.889,0.8682,0.9,0.908
1_cofolding_uncharacterised_adps_defences/QZE32572.1/acrie8/qze32572.1_acrie8,20,0.843,TRUE,0.85,0.873,0.849,0.87,0.854
1_cofolding_uncharacterised_adps_defences/QZE32570.1/acrie3/qze32570.1_acrie3,20,0.837,TRUE,0.84,0.8415,0.8379,0.84,0.84
1_cofolding_uncharacterised_adps_defences/QZE32570.1/acrie5/qze32570.1_acrie5,20,0.805,TRUE,0.81,0.8575,0.8155,0.86,0.82
1_cofolding_uncharacterised_adps_defences/WWV39457.1/acrib7/wwv39457.1_acrib7,20,0.77,TRUE,0.79,0.7755,0.7711,0.78,0.788
1_cofolding_uncharacterised_adps_defences/QZE32569.1/acrie4/qze32569.1_acrie4,20,0.742,TRUE,0.8,0.833,0.7602,0.85,0.81
1_cofolding_uncharacterised_adps_defences/UEM35122.1/acric10/uem35122.1_acric10,20,0.7315,TRUE,0.75,0.7745,0.7401,0.78,0.756
1_cofolding_uncharacterised_adps_defences/CAD0136979.1/acriia31/cad0136979.1_acriia31,20,0.706,TRUE,0.87,0.589,0.6826,0.62,0.82
1_cofolding_uncharacterised_adps_defences/WWV39453.1/acrib8/wwv39453.1_acrib8,20,0.6995,TRUE,0.77,0.7355,0.7067,0.76,0.768
1_cofolding_uncharacterised_adps_defences/AHH51210.1/acrif18_/ahh51210.1_acrif18_,20,0.6945,TRUE,0.71,0.605,0.6766,0.61,0.69
1_cofolding_uncharacterised_adps_defences/AHH51210.1/acrif15/ahh51210.1_acrif15,20,0.69,TRUE,0.7,0.596,0.6712,0.61,0.682
1_cofolding_uncharacterised_adps_defences/ALU77912.1/acriia3/alu77912.1_acriia3,20,0.679,TRUE,0.7,0.702,0.6836,0.72,0.704
1_cofolding_uncharacterised_adps_defences/WP_012609144.1/tifa/wp_012609144.1_tifa,20,0.6655,TRUE,0.72,0.7315,0.6787,0.75,0.726
1_cofolding_uncharacterised_adps_defences/WP_010883983.1/ardu/wp_010883983.1_ardu,20,0.6575,TRUE,0.76,0.7165,0.6693,0.76,0.76
