score	protein	pair_a	pair_b	n_seeds_a	n_seeds_b	mean_a	mean_b	delta_b_minus_a	perm_p_raw	q_BH_FDR	signif_q_0.05
iptm	yp_009031408	ATP-ATP	ATP-GTP	5	5	0.9028	0.8220	-0.0808	0.0079	0.0123	yes
iptm	yp_009031408	ATP-ATP	ATP-CTP	5	5	0.9028	0.8512	-0.0516	0.0079	0.0123	yes
iptm	yp_009031408	ATP-ATP	ATP-UTP	5	5	0.9028	0.8888	-0.0140	0.2222	0.2703	no
iptm	yp_009031408	ATP-ATP	GTP-GTP	5	5	0.9028	0.9052	0.0024	0.6190	0.6331	no
iptm	yp_009031408	ATP-ATP	GTP-CTP	5	5	0.9028	0.8784	-0.0244	0.0079	0.0123	yes
iptm	yp_009031408	ATP-ATP	GTP-UTP	5	5	0.9028	0.8896	-0.0132	0.0159	0.0230	yes
iptm	yp_009031408	ATP-ATP	CTP-CTP	5	5	0.9028	0.9268	0.0240	0.0079	0.0123	yes
iptm	yp_009031408	ATP-ATP	CTP-UTP	5	5	0.9028	0.8644	-0.0384	0.0079	0.0123	yes
iptm	yp_009031408	ATP-ATP	UTP-UTP	5	5	0.9028	0.9332	0.0304	0.0079	0.0123	yes
iptm	yp_009031408	ATP-GTP	ATP-CTP	5	5	0.8220	0.8512	0.0292	0.3175	0.3571	no
iptm	yp_009031408	ATP-GTP	ATP-UTP	5	5	0.8220	0.8888	0.0668	0.0079	0.0123	yes
iptm	yp_009031408	ATP-GTP	GTP-GTP	5	5	0.8220	0.9052	0.0832	0.0079	0.0123	yes
iptm	yp_009031408	ATP-GTP	GTP-CTP	5	5	0.8220	0.8784	0.0564	0.0079	0.0123	yes
iptm	yp_009031408	ATP-GTP	GTP-UTP	5	5	0.8220	0.8896	0.0676	0.0079	0.0123	yes
iptm	yp_009031408	ATP-GTP	CTP-CTP	5	5	0.8220	0.9268	0.1048	0.0079	0.0123	yes
iptm	yp_009031408	ATP-GTP	CTP-UTP	5	5	0.8220	0.8644	0.0424	0.0159	0.0230	yes
iptm	yp_009031408	ATP-GTP	UTP-UTP	5	5	0.8220	0.9332	0.1112	0.0079	0.0123	yes
iptm	yp_009031408	ATP-CTP	ATP-UTP	5	5	0.8512	0.8888	0.0376	0.2619	0.3022	no
iptm	yp_009031408	ATP-CTP	GTP-GTP	5	5	0.8512	0.9052	0.0540	0.0079	0.0123	yes
iptm	yp_009031408	ATP-CTP	GTP-CTP	5	5	0.8512	0.8784	0.0272	0.4365	0.4677	no
iptm	yp_009031408	ATP-CTP	GTP-UTP	5	5	0.8512	0.8896	0.0384	0.2619	0.3022	no
iptm	yp_009031408	ATP-CTP	CTP-CTP	5	5	0.8512	0.9268	0.0756	0.0079	0.0123	yes
iptm	yp_009031408	ATP-CTP	CTP-UTP	5	5	0.8512	0.8644	0.0132	0.5952	0.6229	no
iptm	yp_009031408	ATP-CTP	UTP-UTP	5	5	0.8512	0.9332	0.0820	0.0079	0.0123	yes
iptm	yp_009031408	ATP-UTP	GTP-GTP	5	5	0.8888	0.9052	0.0164	0.1349	0.1735	no
iptm	yp_009031408	ATP-UTP	GTP-CTP	5	5	0.8888	0.8784	-0.0104	0.3254	0.3571	no
iptm	yp_009031408	ATP-UTP	GTP-UTP	5	5	0.8888	0.8896	0.0008	0.9762	0.9762	no
iptm	yp_009031408	ATP-UTP	CTP-CTP	5	5	0.8888	0.9268	0.0380	0.0079	0.0123	yes
iptm	yp_009031408	ATP-UTP	CTP-UTP	5	5	0.8888	0.8644	-0.0244	0.0714	0.0945	no
iptm	yp_009031408	ATP-UTP	UTP-UTP	5	5	0.8888	0.9332	0.0444	0.0079	0.0123	yes
iptm	yp_009031408	GTP-GTP	GTP-CTP	5	5	0.9052	0.8784	-0.0268	0.0079	0.0123	yes
iptm	yp_009031408	GTP-GTP	GTP-UTP	5	5	0.9052	0.8896	-0.0156	0.0079	0.0123	yes
iptm	yp_009031408	GTP-GTP	CTP-CTP	5	5	0.9052	0.9268	0.0216	0.0079	0.0123	yes
iptm	yp_009031408	GTP-GTP	CTP-UTP	5	5	0.9052	0.8644	-0.0408	0.0079	0.0123	yes
iptm	yp_009031408	GTP-GTP	UTP-UTP	5	5	0.9052	0.9332	0.0280	0.0079	0.0123	yes
iptm	yp_009031408	GTP-CTP	GTP-UTP	5	5	0.8784	0.8896	0.0112	0.0556	0.0758	no
iptm	yp_009031408	GTP-CTP	CTP-CTP	5	5	0.8784	0.9268	0.0484	0.0079	0.0123	yes
iptm	yp_009031408	GTP-CTP	CTP-UTP	5	5	0.8784	0.8644	-0.0140	0.1429	0.1786	no
iptm	yp_009031408	GTP-CTP	UTP-UTP	5	5	0.8784	0.9332	0.0548	0.0079	0.0123	yes
iptm	yp_009031408	GTP-UTP	CTP-CTP	5	5	0.8896	0.9268	0.0372	0.0079	0.0123	yes
iptm	yp_009031408	GTP-UTP	CTP-UTP	5	5	0.8896	0.8644	-0.0252	0.0317	0.0446	yes
iptm	yp_009031408	GTP-UTP	UTP-UTP	5	5	0.8896	0.9332	0.0436	0.0079	0.0123	yes
iptm	yp_009031408	CTP-CTP	CTP-UTP	5	5	0.9268	0.8644	-0.0624	0.0079	0.0123	yes
iptm	yp_009031408	CTP-CTP	UTP-UTP	5	5	0.9268	0.9332	0.0064	0.0079	0.0123	yes
iptm	yp_009031408	CTP-UTP	UTP-UTP	5	5	0.8644	0.9332	0.0688	0.0079	0.0123	yes
iptm	yp_009091875	ATP-ATP	ATP-GTP	5	5	0.8836	0.7904	-0.0932	0.0079	0.0123	yes
iptm	yp_009091875	ATP-ATP	ATP-CTP	5	5	0.8836	0.8024	-0.0812	0.0079	0.0123	yes
iptm	yp_009091875	ATP-ATP	ATP-UTP	5	5	0.8836	0.8176	-0.0660	0.0079	0.0123	yes
iptm	yp_009091875	ATP-ATP	GTP-GTP	5	5	0.8836	0.8884	0.0048	0.1746	0.1916	no
iptm	yp_009091875	ATP-ATP	GTP-CTP	5	5	0.8836	0.7792	-0.1044	0.0079	0.0123	yes
iptm	yp_009091875	ATP-ATP	GTP-UTP	5	5	0.8836	0.8056	-0.0780	0.0079	0.0123	yes
iptm	yp_009091875	ATP-ATP	CTP-CTP	5	5	0.8836	0.9092	0.0256	0.0079	0.0123	yes
iptm	yp_009091875	ATP-ATP	CTP-UTP	5	5	0.8836	0.7804	-0.1032	0.0079	0.0123	yes
iptm	yp_009091875	ATP-ATP	UTP-UTP	5	5	0.8836	0.9168	0.0332	0.0079	0.0123	yes
iptm	yp_009091875	ATP-GTP	ATP-CTP	5	5	0.7904	0.8024	0.0120	0.2302	0.2409	no
iptm	yp_009091875	ATP-GTP	ATP-UTP	5	5	0.7904	0.8176	0.0272	0.0238	0.0325	yes
iptm	yp_009091875	ATP-GTP	GTP-GTP	5	5	0.7904	0.8884	0.0980	0.0079	0.0123	yes
iptm	yp_009091875	ATP-GTP	GTP-CTP	5	5	0.7904	0.7792	-0.0112	0.1825	0.1956	no
iptm	yp_009091875	ATP-GTP	GTP-UTP	5	5	0.7904	0.8056	0.0152	0.0873	0.1091	no
iptm	yp_009091875	ATP-GTP	CTP-CTP	5	5	0.7904	0.9092	0.1188	0.0079	0.0123	yes
iptm	yp_009091875	ATP-GTP	CTP-UTP	5	5	0.7904	0.7804	-0.0100	0.1429	0.1692	no
iptm	yp_009091875	ATP-GTP	UTP-UTP	5	5	0.7904	0.9168	0.1264	0.0079	0.0123	yes
iptm	yp_009091875	ATP-CTP	ATP-UTP	5	5	0.8024	0.8176	0.0152	0.1508	0.1696	no
iptm	yp_009091875	ATP-CTP	GTP-GTP	5	5	0.8024	0.8884	0.0860	0.0079	0.0123	yes
iptm	yp_009091875	ATP-CTP	GTP-CTP	5	5	0.8024	0.7792	-0.0232	0.0556	0.0714	no
iptm	yp_009091875	ATP-CTP	GTP-UTP	5	5	0.8024	0.8056	0.0032	0.7778	0.7955	no
iptm	yp_009091875	ATP-CTP	CTP-CTP	5	5	0.8024	0.9092	0.1068	0.0079	0.0123	yes
iptm	yp_009091875	ATP-CTP	CTP-UTP	5	5	0.8024	0.7804	-0.0220	0.0476	0.0630	no
iptm	yp_009091875	ATP-CTP	UTP-UTP	5	5	0.8024	0.9168	0.1144	0.0079	0.0123	yes
